# experiment=time_to_quality engine=helix-f3270d5 date=20260808-032642
# suite=tests/data/stockfish-bench-all.epd nmp=on reps=3 positions=309
fen_id,fen,budget_ms,rep,nmp,bestmove,completed_depth,nodes,time_ms,stop_reason
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,25,2,on,f7e6,5,43008,22,hard_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,50,0,on,f7e6,5,102400,46,hard_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,50,1,on,f7e6,5,101376,46,hard_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,50,2,on,f7e6,5,103424,47,hard_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,100,0,on,f7e6,6,184320,94,hard_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,100,1,on,f7e6,6,185344,95,hard_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,100,2,on,f7e6,6,185344,95,hard_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,250,0,on,f7e6,7,294330,178,soft_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,250,1,on,f7e6,7,294330,183,soft_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,250,2,on,f7e6,7,294330,187,soft_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,500,0,on,f7e6,8,816310,447,soft_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,500,1,on,f7e6,8,816310,448,soft_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,500,2,on,f7e6,8,816310,447,soft_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,1000,0,on,f7e6,8,1476608,949,hard_time
