# experiment=tt_sweep engine=helix-f3270d5 date=20260808-012157
# suite=tests/data/stockfish-bench-all.epd budget_ms=1000 reps=3 mb=1,4,16,64,256 entry_bytes=32 positions=309
fen_id,tt_mb,rep,completed_depth,seldepth,nodes,qnodes,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,stop_reason
66,1,2,8,20,1451008,860868,497141,40089,102135,63955,0.0806,950,c6b4,hard_time
67,1,0,8,19,1804288,977296,386917,37046,100451,56006,0.0957,949,e8e7,hard_time
67,1,1,8,19,1409917,753878,275536,28517,73624,35554,0.1035,700,e8e7,soft_time
67,1,2,8,19,1409917,753878,275536,28517,73624,35554,0.1035,703,e8e7,soft_time
68,1,0,8,19,1682634,945180,361768,26506,96161,56980,0.0733,912,h8d8,soft_time
68,1,1,8,19,1682634,945180,361768,26506,96161,56980,0.0733,915,h8d8,soft_time
68,1,2,8,19,1682634,945180,361768,26506,96161,56980,0.0733,911,h8d8,soft_time
69,1,0,7,20,1887232,1040114,348478,21585,87540,49625,0.0619,949,h8d8,hard_time
69,1,1,7,20,1863680,1027657,345277,21470,86551,48743,0.0622,950,h8d8,hard_time
69,1,2,7,20,1846272,1017973,342129,21424,85791,48055,0.0626,950,h8d8,hard_time
70,1,0,7,20,1773568,986999,350030,22993,88903,53221,0.0657,949,e5f4,hard_time
70,1,1,7,20,1786880,994442,352259,23087,89353,53635,0.0655,950,e5f4,hard_time
70,1,2,7,20,1783808,992707,351690,23054,89257,53548,0.0656,950,e5f4,hard_time
71,1,0,7,21,1600512,960178,385828,26657,79584,38945,0.0691,950,f6f5,hard_time
71,1,1,7,21,1600512,960178,385828,26657,79584,38945,0.0691,951,f6f5,hard_time
71,1,2,7,21,1595392,957597,385420,26653,79374,38764,0.0692,950,f6f5,hard_time
72,1,0,7,19,1586176,935663,400539,33388,99194,60091,0.0834,949,c6d4,hard_time
72,1,1,7,19,1567744,925317,396374,33218,97988,58993,0.0838,950,c6d4,hard_time
72,1,2,7,19,1565696,923733,395105,33175,97820,58845,0.0840,950,c6d4,hard_time
73,1,0,9,19,1927168,1002713,312115,39498,113209,69825,0.1265,949,d7c6,hard_time
73,1,1,9,19,1935360,1006578,312591,39662,113528,70113,0.1269,950,d7c6,hard_time
73,1,2,9,19,1942528,1010079,313709,40007,113966,70515,0.1275,949,d7c6,hard_time
74,1,0,9,18,1794048,912631,358901,46877,129656,83976,0.1306,950,b8d8,hard_time
74,1,1,9,18,1797120,914254,359621,46916,129912,84219,0.1305,949,b8d8,hard_time
74,1,2,9,18,1795072,913126,358981,46882,129707,84023,0.1306,949,b8d8,hard_time
75,1,0,9,18,1758208,870843,383099,64087,138533,86407,0.1673,950,f6e5,hard_time
75,1,1,9,18,1763328,873700,384295,64299,138762,86497,0.1673,950,f6e5,hard_time
75,1,2,9,18,1757184,870329,382951,64069,138483,86367,0.1673,949,f6e5,hard_time
76,1,0,9,18,1772544,874835,403578,60487,140804,92635,0.1499,950,d8d7,hard_time
76,1,1,9,18,1772544,874835,403578,60487,140804,92635,0.1499,950,d8d7,hard_time
76,1,2,9,18,1803264,890070,411357,60992,143572,95312,0.1483,951,d8d7,hard_time
77,1,0,8,16,1573888,794838,420814,48547,134293,92080,0.1154,949,d7b7,hard_time
77,1,1,8,16,1577984,796840,421574,48667,134546,92319,0.1154,949,d7b7,hard_time
77,1,2,8,16,1577984,796840,421574,48667,134546,92319,0.1154,950,d7b7,hard_time
78,1,0,9,17,1694720,862293,405800,53976,132449,83578,0.1330,949,d6c7,hard_time
