# experiment=time_to_quality engine=helix-f3270d5 date=20260808-053245
# suite=tests/data/stockfish-bench-all.epd nmp=off reps=3 positions=309
# scored with stockfish depth=20
fen_id,fen,budget_ms,rep,nmp,bestmove,completed_depth,nodes,time_ms,stop_reason,sf_best,sf_eval_best,sf_eval_played,cpl,agreement
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,100,0,off,f7e6,5,199680,95,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,100,1,off,f7e6,5,199680,95,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,100,2,off,f7e6,5,199680,94,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,250,0,off,f7e6,6,389120,237,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,250,1,off,f7e6,6,387072,237,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,250,2,off,f7e6,6,384000,236,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,500,0,off,f7e6,6,788480,474,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,500,1,off,f7e6,6,807936,475,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,500,2,off,f7e6,6,807936,474,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,1000,0,off,f7e6,7,2037760,950,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,1000,1,off,f7e6,7,2094080,949,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,1000,2,off,f7e6,7,2100224,950,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,2000,0,off,f7e6,7,4114432,1899,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,2000,1,off,f7e6,7,4066304,1900,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,2000,2,off,f7e6,7,4122624,1900,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,5000,0,off,f7e6,8,8324096,4749,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,5000,1,off,f7e6,8,6235961,3510,soft_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,5000,2,off,f7e6,8,8095744,4750,hard_time,f7e6,43,43,0,1
5,r1bq1r1k/1pp1n1pp/1p1p4/4p2Q/4PpP1/1BNP4/PPP2P1P/3R1RK1 b - g3 0 14,10,0,off,f4f3,3,11264,8,hard_time,f4f3,177,177,0,1
5,r1bq1r1k/1pp1n1pp/1p1p4/4p2Q/4PpP1/1BNP4/PPP2P1P/3R1RK1 b - g3 0 14,10,1,off,f4f3,3,12288,9,hard_time,f4f3,177,177,0,1
5,r1bq1r1k/1pp1n1pp/1p1p4/4p2Q/4PpP1/1BNP4/PPP2P1P/3R1RK1 b - g3 0 14,10,2,off,f4f3,3,12288,8,hard_time,f4f3,177,177,0,1
